Setpoint, C:;500

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
398;496.5;124.9;0;0
399;496.4;124.9;0;0
400;496.4;124.9;0;0
401;496.4;124.9;1;1
402;496.4;124.9;0;0
403;496.4;124.9;0;0
404;496.3;124.9;0;0
405;496.3;124.9;0;0
406;496.3;124.9;0;0
407;496.3;124.9;0;0
408;496.3;124.9;0;0
409;496.3;124.9;0;0
410;496.3;124.9;0;0
411;496.3;124.9;0;0
412;496.2;124.9;0;0
413;496.2;124.9;1;1
414;496.2;124.9;0;0
415;496.1;124.9;0;0
416;496.2;124.9;0;0
417;496.1;124.9;0;0
418;496.1;124.9;0;0
419;496.1;124.9;1;1
420;496;124.9;0;0
421;496.1;124.9;0;0
422;496;124.9;0;0
423;496.1;124.9;0;0
424;496;124.9;0;0
425;496;124.9;0;0
426;496;124.9;0;0
427;496;124.9;0;0
428;496;124.9;0;0
429;496;124.9;0;0
430;495.9;124.9;0;0
431;495.9;124.9;0;0
432;495.9;124.9;1;1
433;495.9;124.9;0;0
434;495.9;124.9;0;0
435;495.8;124.9;0;0
436;495.8;124.9;0;0
437;495.7;124.9;0;0
438;495.8;124.9;1;1
439;495.7;124.9;0;0
440;495.7;124.9;0;0
441;495.8;124.9;0;0
442;495.7;124.9;0;0
443;495.7;124.9;0;0
444;495.7;124.9;0;0
445;495.7;124.9;0;0
446;495.7;124.9;0;0
447;495.6;124.9;0;0
448;495.7;124.9;0;0
449;495.6;124.9;0;0
450;495.6;124.9;0;0
451;495.6;124.9;1;1
452;495.5;124.9;0;0
453;495.5;124.9;0;0
454;495.6;124.9;0;0
455;495.4;124.9;0;0
456;495.4;124.9;0;0
457;495.4;124.9;0;0
458;495.4;124.9;0;0
459;495.4;124.9;0;0
460;495.3;124.9;0;0
461;495.4;124.9;0;0
462;495.3;124.9;0;0
463;495.2;124.9;0;0
464;495.2;124.9;1;1
465;495.2;124.9;0;0
466;495.2;124.9;0;0
467;495.2;124.9;0;0
468;495.1;124.9;0;0
469;495.1;124.9;0;0
470;495;124.9;1;1
471;495.1;124.9;0;0
472;495;124.9;0;0
473;495;124.9;0;0
474;494.9;124.9;0;0
475;495;124.9;0;0
476;494.9;124.9;0;0
477;494.9;124.9;1;1
478;494.8;124.9;0;0
479;494.8;124.9;0;0
480;494.9;124.9;0;0
481;494.8;124.9;0;0
482;494.8;124.9;0;0
483;494.8;124.9;1;1
484;494.8;124.9;0;0
485;494.7;124.9;0;0
486;494.8;124.9;0;0
487;494.7;124.9;0;0
488;494.8;124.9;0;0
489;494.8;124.9;0;0
490;494.8;124.9;0;0
491;494.7;124.9;0;0
492;494.7;124.9;0;0
493;494.7;124.9;0;0
494;494.7;124.9;0;0
495;494.7;124.9;0;0
496;494.6;124.9;1;1
497;494.5;124.9;0;0
498;494.6;124.9;0;0
499;494.6;124.9;0;0
500;494.5;124.9;0;0
501;494.5;124.9;0;0
502;494.5;124.9;1;1
503;494.5;124.9;0;0
504;494.5;124.9;0;0
505;494.5;124.9;0;0
506;494.5;124.9;0;0
507;494.5;124.9;0;0
508;494.4;124.9;0;0
509;494.4;124.9;1;1
510;494.4;124.9;0;0
511;494.4;124.9;0;0
512;494.3;124.9;0;0
513;494.4;124.9;0;0
514;494.4;124.9;0;0
515;494.4;124.9;1;1
516;494.4;124.9;0;0
517;494.4;124.9;0;0
518;494.3;124.9;0;0
519;494.3;124.9;0;0
520;494.4;124.9;0;0
521;494.3;124.9;1;1
522;494.2;124.9;0;0
523;494.3;124.9;0;0
524;494.2;124.9;0;0
525;494.2;124.9;0;0
526;494.3;124.9;0;0
527;494.3;124.9;0;0
528;494.2;124.9;1;1
529;494.3;124.9;0;0
530;494.3;124.9;0;0
531;494.2;124.9;0;0
532;494.2;124.9;0;0
533;494.2;124.9;0;0
534;494.2;124.9;1;1
535;494.2;124.9;0;0
536;494.2;124.9;0;0
537;494.2;124.9;0;0
538;494.2;124.9;0;0
539;494.2;124.9;0;0
540;494.2;124.9;0;0
541;494.2;124.9;0;0
542;494.2;124.9;0;0
543;494.2;124.9;0;0
544;494.2;124.9;0;0
545;494.2;124.9;0;0
546;494.1;124.9;0;0
547;494.1;124.9;1;1
548;494;124.9;0;0
549;494;124.9;0;0
550;494;124.9;0;0
551;494;124.9;0;0
552;493.9;124.9;0;0
553;493.9;124.9;1;1
554;494;124.9;0;0
555;493.9;124.9;0;0
556;493.9;124.9;0;0
