Time, sec;Temperature 1, C;Temperature 2, C;Set point, C;Relay 1;Relay 2
576;380.1;124.9;380;0;0
577;380.1;124.9;380;0;0
578;380;124.9;380;0;0
579;380;124.9;380;0;0
580;380;124.9;380;0;0
581;380;124.9;380;0;0
582;379.9;124.9;380;0;0
583;379.9;124.9;380;0;0
584;379.9;124.9;380;0;0
585;379.9;124.9;380;0;0
586;379.7;124.9;380;0;0
587;379.7;124.9;380;0;0
588;379.7;124.9;380;0;0
589;379.7;124.9;380;0;0
590;379.6;124.9;380;0;0
591;379.6;124.9;380;0;0
592;379.5;124.9;380;0;0
593;379.5;124.9;380;0;0
594;379.4;124.9;380;1;0
595;379.4;124.9;380;0;1
596;379.4;124.9;380;0;0
597;379.4;124.9;380;0;0
598;379.3;124.9;380;0;0
599;379.3;124.9;380;0;0
600;379.2;124.9;380;0;0
601;379.2;124.9;380;0;0
602;379.3;124.9;380;0;0
603;379.2;124.9;380;0;0
604;379.2;124.9;380;0;0
605;379.2;124.9;380;0;0
606;379.2;124.9;380;0;0
607;379.1;124.9;380;0;0
608;379.1;124.9;380;0;0
609;379.1;124.9;380;0;0
610;379;124.9;380;0;0
611;379;124.9;380;0;0
612;379;124.9;380;0;0
613;379;124.9;380;1;0
614;378.9;124.9;380;0;1
615;378.9;124.9;380;0;0
616;378.8;124.9;380;0;0
617;378.8;124.9;380;0;0
618;378.8;124.9;380;0;0
619;378.8;124.9;380;0;0
620;378.8;124.9;380;0;0
621;378.7;124.9;380;0;0
622;378.7;124.9;380;0;0
623;378.7;124.9;380;0;0
624;378.7;124.9;380;0;0
625;378.6;124.9;380;0;0
626;378.6;124.9;380;1;0
627;378.6;124.9;380;0;1
628;378.6;124.9;380;0;0
629;378.6;124.9;380;0;0
630;378.6;124.9;380;0;0
631;378.5;124.9;380;0;0
632;378.5;124.9;380;0;0
633;378.5;124.9;380;0;0
634;378.5;124.9;380;0;0
635;378.5;124.9;380;0;0
636;378.5;124.9;380;0;0
637;378.5;124.9;380;0;0
638;378.4;124.9;380;0;0
639;378.4;124.9;380;1;0
640;378.4;124.9;380;0;1
641;378.3;124.9;380;0;0
642;378.3;124.9;380;0;0
643;378.3;124.9;380;0;0
644;378.3;124.9;380;0;0
